time,source,target,relativity
196901,7,50,0.23
196901,7,69,0.23
196902,7,50,0.23
196902,7,69,0.23
196903,7,50,0.23
196903,7,69,0.23
196904,7,50,0.23
196904,7,69,0.23
196905,7,50,0.23
196905,7,69,0.23
196906,7,50,0.23
196906,7,69,0.23
196907,7,50,0.23
196907,7,69,0.23
196908,7,50,0.23
196908,7,69,0.23
196909,7,50,0.23
196909,7,69,0.23
196910,7,50,0.23
196910,7,69,0.23
196911,7,50,0.23
196911,7,69,0.23
196912,7,50,0.23
196912,7,69,0.23
197001,7,50,0.23
197001,7,69,0.23
197001,58,141,1.45
197002,7,50,0.23
197002,7,69,0.23
197002,58,141,1.45
197003,7,50,0.23
197003,7,69,0.23
197003,58,141,1.45
197004,7,50,0.23
197004,7,69,0.23
197004,58,141,1.45
197005,7,50,0.23
197005,7,69,0.23
197005,58,141,1.45
197006,7,50,0.23
197006,7,69,0.23
197006,58,141,1.45
197007,7,50,0.23
197007,7,69,0.23
197007,58,141,1.45
197008,7,50,0.23
197008,7,69,0.23
197008,58,141,1.45
197009,7,50,0.23
197009,7,69,0.23
197009,58,141,1.45
197010,7,50,0.23
197010,7,69,0.23
197010,58,141,1.45
197011,7,50,0.23
197011,7,69,0.23
197011,58,141,1.45
197012,7,50,0.23
197012,7,69,0.23
197012,58,141,1.45
197012,69,102,0.367
197101,7,50,0.23
197101,7,69,0.23
197101,7,122,1.15
197101,50,117,1.15
197101,50,122,0.23
197101,58,141,1.45
197101,69,102,0.367
197101,69,122,0.23
197101,102,119,0.383
197102,7,50,0.23
197102,7,69,0.23
197102,7,122,1.15
197102,50,117,1.15
197102,50,122,0.23
197102,58,141,1.45
197102,69,102,0.367
197102,69,122,0.23
197102,102,119,0.383
197103,7,50,0.23
197103,7,69,0.23
197103,7,122,1.15
197103,50,117,1.15
197103,50,122,0.23
197103,58,141,1.45
197103,69,102,0.367
197103,69,122,0.23
197103,102,119,0.383
197104,7,50,0.23
197104,7,69,0.23
197104,7,122,1.15
197104,50,117,1.15
197104,50,122,0.23
197104,58,141,1.45
197104,69,102,0.367
197104,69,122,0.23
197104,102,119,0.383
197105,7,50,0.23
197105,7,69,0.23
197105,7,122,1.15
197105,50,117,1.15
197105,50,122,0.23
197105,58,141,1.45
197105,69,102,0.367
197105,69,122,0.23
197105,102,119,0.383
197106,7,50,0.23
197106,7,69,0.23
197106,7,122,1.15
197106,50,117,1.15
197106,50,122,0.23
197106,58,141,1.45
197106,69,102,0.367
197106,69,122,0.23
197106,102,119,0.383
197107,7,50,0.23
197107,7,69,0.23
197107,7,122,1.15
197107,50,117,1.15
197107,50,122,0.23
197107,58,141,1.45
197107,69,102,0.367
197107,69,122,0.23
197107,102,119,0.383
197108,7,50,0.23
197108,7,69,0.23
197108,7,122,1.15
197108,50,117,1.15
197108,50,122,0.23
197108,58,141,1.45
197108,69,102,0.367
197108,69,122,0.23
197108,102,119,0.383
197109,7,50,0.23
197109,7,69,0.23
197109,7,122,1.15
197109,50,117,1.15
197109,50,122,0.23
197109,58,141,1.45
197109,69,102,0.367
197109,69,122,0.23
197109,102,119,0.383
197110,7,50,0.23
197110,7,69,0.23
197110,7,122,1.15
197110,50,117,1.15
197110,50,122,0.23
197110,58,141,1.45
197110,69,102,0.367
197110,69,122,0.23
197110,102,119,0.383
197111,7,50,0.23
197111,7,69,0.23
197111,7,122,1.15
197111,50,117,1.15
197111,50,122,0.23
197111,58,141,1.45
197111,69,102,0.367
197111,69,122,0.23
197111,102,119,0.383
197112,7,50,0.23
197112,7,69,0.23
197112,7,122,1.15
197112,50,117,1.15
197112,50,122,0.23
197112,58,141,1.45
197112,69,102,0.367
197112,69,122,0.23
197112,102,119,0.383
197201,7,50,0.23
197201,7,69,0.23
197201,7,122,1.15
197201,7,187,0.35
197201,50,117,1.15
197201,50,122,0.23
197201,58,141,1.45
197201,69,102,0.367
197201,69,122,0.23
197201,69,127,0.575
197201,102,119,0.383
197201,122,187,0.35
197202,7,50,0.23
197202,7,69,0.23
197202,7,122,1.15
197202,7,187,0.35
197202,50,117,1.15
197202,50,122,0.23
197202,58,141,1.45
197202,69,102,0.367
197202,69,122,0.23
197202,69,127,0.575
197202,102,119,0.383
197202,122,187,0.35
197203,7,50,0.23
197203,7,69,0.23
197203,7,122,1.15
197203,7,187,0.35
197203,50,117,1.15
197203,50,122,0.23
197203,58,141,1.45
197203,69,102,0.367
197203,69,122,0.23
197203,69,127,0.575
197203,102,119,0.383
197203,122,187,0.35
197204,7,50,0.23
197204,7,69,0.23
197204,7,122,1.15
197204,7,187,0.35
197204,50,117,1.15
197204,50,122,0.23
197204,58,141,1.45
197204,69,102,0.367
197204,69,122,0.23
197204,69,127,0.575
197204,102,119,0.383
197204,122,187,0.35
197205,7,50,0.23
197205,7,69,0.23
197205,7,122,1.15
197205,7,187,0.35
197205,50,117,1.15
197205,50,122,0.23
197205,58,141,1.45
197205,69,102,0.367
197205,69,122,0.23
197205,69,127,0.575
197205,102,119,0.383
197205,122,187,0.35
197206,7,50,0.23
197206,7,69,0.23
197206,7,122,1.15
197206,7,187,0.35
197206,50,117,1.15
197206,50,122,0.23
197206,58,141,1.45
197206,69,102,0.367
197206,69,122,0.23
197206,69,127,0.575
197206,102,119,0.383
197206,122,187,0.35
197207,7,50,0.23
197207,7,69,0.23
197207,7,122,1.15
197207,7,187,0.35
197207,50,117,1.15
197207,50,122,0.23
197207,58,141,1.45
197207,69,102,0.367
197207,69,122,0.23
197207,69,127,0.575
197207,102,119,0.383
197207,122,187,0.35
197208,7,50,0.23
197208,7,69,0.23
197208,7,122,1.15
197208,7,187,0.35
197208,50,117,1.15
197208,50,122,0.23
197208,58,141,1.45
197208,69,102,0.367
197208,69,122,0.23
197208,69,127,0.575
197208,102,119,0.383
197208,122,187,0.35
197209,7,50,0.23
197209,7,69,0.23
197209,7,122,1.15
197209,7,187,0.35
197209,50,117,1.15
197209,50,122,0.23
197209,58,141,1.45
197209,69,102,0.367
197209,69,122,0.23
197209,69,127,0.575
197209,102,119,0.383
197209,122,187,0.35
197210,7,50,0.23
197210,7,69,0.23
197210,7,122,1.15
197210,7,187,0.35
197210,50,117,1.15
197210,50,122,0.23
197210,58,141,1.45
197210,69,102,0.367
197210,69,122,0.23
197210,69,127,0.575
197210,102,119,0.383
197210,122,187,0.35
197211,7,50,0.23
197211,7,69,0.23
197211,7,122,1.15
197211,7,187,0.35
197211,50,117,1.15
197211,50,122,0.23
197211,58,141,1.45
197211,69,102,0.367
197211,69,122,0.23
197211,69,127,0.575
197211,102,119,0.383
197211,122,187,0.35
197211,127,166,0.23
197212,7,50,0.23
197212,7,69,0.23
197212,7,122,1.15
197212,7,187,0.35
197212,50,117,1.15
197212,50,122,0.23
197212,58,141,1.45
197212,69,102,0.367
197212,69,122,0.23
197212,69,127,0.575
197212,102,119,0.383
197212,122,187,0.35
197212,127,166,0.23
197301,7,69,0.23
197301,7,122,1.15
197301,7,187,0.35
197301,47,166,0.367
197301,58,141,1.45
197301,64,64,0.85
197301,69,102,0.367
197301,69,122,0.23
197301,69,127,0.575
197301,102,119,0.383
197301,122,187,0.35
197301,127,166,0.23
197302,7,32,0.35
197302,7,57,0.35
197302,7,69,0.23
197302,7,122,1.15
197302,7,187,0.35
197302,7,198,0.35
197302,32,57,1.25
197302,32,122,0.35
197302,32,198,0.383
197302,47,166,0.367
197302,57,122,0.35
197302,57,198,0.383
197302,58,141,1.45
197302,64,64,0.85
197302,69,102,0.367
197302,69,122,0.23
197302,69,127,0.575
197302,102,119,0.383
197302,122,187,0.35
197302,122,198,0.35
197302,127,166,0.23
197303,7,32,0.35
197303,7,57,0.35
197303,7,69,0.23
197303,7,70,1.15
197303,7,122,1.15
197303,7,187,0.35
197303,7,198,0.35
197303,32,57,1.25
197303,32,70,0.35
197303,32,122,0.35
197303,32,198,0.383
197303,47,166,0.367
197303,57,70,0.35
197303,57,122,0.35
197303,57,198,0.383
197303,58,141,1.45
197303,64,64,0.85
197303,69,70,0.23
197303,69,102,0.367
197303,69,122,0.23
197303,69,127,0.575
197303,70,122,1.15
197303,70,187,0.35
197303,70,198,0.35
197303,102,119,0.383
197303,122,187,0.35
197303,122,198,0.35
197303,127,166,0.23
197304,7,32,0.35
197304,7,57,0.35
197304,7,69,0.23
197304,7,70,1.15
197304,7,122,1.15
197304,7,187,0.35
197304,7,198,0.35
197304,32,57,1.25
197304,32,70,0.35
197304,32,122,0.35
197304,32,198,0.383
197304,47,166,0.367
197304,57,70,0.35
197304,57,122,0.35
197304,57,198,0.383
197304,58,141,1.45
197304,64,64,0.85
197304,69,70,0.23
197304,69,102,0.367
197304,69,122,0.23
197304,69,127,0.575
197304,70,122,1.15
197304,70,187,0.35
197304,70,198,0.35
197304,102,119,0.383
197304,122,187,0.35
197304,122,198,0.35
197304,127,166,0.23
197305,7,32,0.35
197305,7,57,0.35
197305,7,69,0.23
197305,7,70,1.15
197305,7,122,1.15
197305,7,187,0.35
197305,7,198,0.35
197305,32,57,1.25
197305,32,70,0.35
197305,32,122,0.35
197305,32,198,0.383
197305,47,166,0.367
197305,57,70,0.35
197305,57,122,0.35
197305,57,198,0.383
197305,58,141,1.45
197305,64,64,0.85
197305,69,70,0.23
197305,69,102,0.367
197305,69,122,0.23
197305,69,127,0.575
197305,70,122,1.15
197305,70,187,0.35
197305,70,198,0.35
197305,102,119,0.383
197305,122,187,0.35
197305,122,198,0.35
197305,127,166,0.23
197306,7,32,0.35
197306,7,57,0.35
197306,7,69,0.23
197306,7,70,1.15
197306,7,122,1.15
197306,7,187,0.35
197306,7,198,0.35
197306,32,57,1.25
197306,32,70,0.35
197306,32,122,0.35
197306,32,198,0.383
197306,47,166,0.367
197306,57,70,0.35
197306,57,122,0.35
197306,57,198,0.383
197306,58,141,1.45
197306,64,64,0.85
197306,69,70,0.23
197306,69,102,0.367
197306,69,122,0.23
197306,69,127,0.575
197306,70,122,1.15
197306,70,187,0.35
197306,70,198,0.35
197306,102,119,0.383
197306,122,187,0.35
197306,122,198,0.35
197306,127,166,0.23
197307,4,7,1.15
197307,4,32,0.35
197307,4,57,0.35
197307,4,69,0.23
197307,4,70,1.15
197307,4,122,1.15
197307,4,187,0.35
197307,4,198,0.35
197307,7,32,0.35
197307,7,57,0.35
197307,7,69,0.23
197307,7,70,1.15
197307,7,122,1.15
197307,7,187,0.35
197307,7,198,0.35
197307,32,57,1.25
197307,32,70,0.35
197307,32,122,0.35
197307,32,198,0.383
197307,47,166,0.367
197307,57,70,0.35
197307,57,122,0.35
197307,57,198,0.383
197307,58,141,1.45
197307,64,64,0.85
197307,69,70,0.23
197307,69,102,0.367
197307,69,122,0.23
197307,69,127,0.575
197307,70,122,1.15
197307,70,187,0.35
197307,70,198,0.35
197307,102,119,0.383
197307,122,187,0.35
197307,122,198,0.35
197307,127,166,0.23
197308,4,7,1.15
197308,4,32,0.35
197308,4,57,0.35
197308,4,69,0.23
197308,4,70,1.15
197308,4,122,1.15
197308,4,187,0.35
197308,4,198,0.35
197308,7,32,0.35
197308,7,57,0.35
197308,7,69,0.23
197308,7,70,1.15
197308,7,122,1.15
197308,7,187,0.35
197308,7,198,0.35
197308,32,57,1.25
197308,32,70,0.35
197308,32,122,0.35
197308,32,198,0.383
197308,47,166,0.367
197308,57,70,0.35
197308,57,122,0.35
197308,57,198,0.383
197308,58,141,1.45
197308,64,64,0.85
197308,69,70,0.23
197308,69,102,0.367
197308,69,122,0.23
197308,69,127,0.575
197308,70,122,1.15
197308,70,187,0.35
197308,70,198,0.35
197308,102,119,0.383
197308,122,187,0.35
197308,122,198,0.35
197308,127,166,0.23
197309,4,7,1.15
197309,4,32,0.35
197309,4,57,0.35
197309,4,69,0.23
197309,4,70,1.15
197309,4,122,1.15
197309,4,187,0.35
197309,4,198,0.35
197309,7,32,0.35
197309,7,57,0.35
197309,7,69,0.23
197309,7,70,1.15
197309,7,122,1.15
197309,7,187,0.35
197309,7,198,0.35
197309,32,57,1.25
197309,32,70,0.35
197309,32,122,0.35
197309,32,198,0.383
197309,47,166,0.367
197309,57,70,0.35
197309,57,122,0.35
197309,57,198,0.383
197309,58,141,1.45
197309,64,64,0.85
197309,69,70,0.23
197309,69,102,0.367
197309,69,122,0.23
197309,69,127,0.575
197309,70,122,1.15
197309,70,141,1.2
197309,70,187,0.35
197309,70,198,0.35
197309,102,119,0.383
197309,122,187,0.35
197309,122,198,0.35
197309,127,166,0.23
197310,4,7,1.15
197310,4,32,0.35
197310,4,57,0.35
197310,4,69,0.23
197310,4,70,1.15
197310,4,122,1.15
197310,4,187,0.35
197310,4,198,0.35
197310,7,32,0.35
197310,7,57,0.35
197310,7,69,0.23
197310,7,70,1.15
197310,7,122,1.15
197310,7,187,0.35
197310,7,198,0.35
197310,32,57,1.25
197310,32,70,0.35
197310,32,122,0.35
197310,32,198,0.383
197310,47,166,0.367
197310,57,70,0.35
197310,57,122,0.35
197310,57,198,0.383
197310,58,141,1.45
197310,64,64,0.85
197310,69,70,0.23
197310,69,102,0.367
197310,69,122,0.23
197310,69,127,0.575
197310,70,122,1.15
197310,70,141,1.2
197310,70,187,0.35
197310,70,198,0.35
197310,102,119,0.383
197310,122,187,0.35
197310,122,198,0.35
197310,127,166,0.23
197311,4,7,1.15
197311,4,32,0.35
197311,4,57,0.35
197311,4,69,0.23
197311,4,70,1.15
197311,4,122,1.15
197311,4,187,0.35
197311,4,198,0.35
197311,7,32,0.35
197311,7,57,0.35
197311,7,69,0.23
197311,7,70,1.15
197311,7,122,1.15
197311,7,187,0.35
197311,7,198,0.35
197311,32,57,1.25
197311,32,70,0.35
197311,32,122,0.35
197311,32,198,0.383
197311,47,166,0.367
197311,57,70,0.35
197311,57,122,0.35
197311,57,198,0.383
197311,58,141,1.45
197311,64,64,0.85
197311,69,70,0.23
197311,69,102,0.367
197311,69,122,0.23
197311,69,127,0.575
197311,70,122,1.15
197311,70,141,1.2
197311,70,187,0.35
197311,70,198,0.35
197311,102,119,0.383
197311,122,187,0.35
197311,122,198,0.35
197311,127,166,0.23
197312,4,7,1.15
197312,4,32,0.35
197312,4,57,0.35
197312,4,69,0.23
197312,4,70,1.15
197312,4,122,1.15
197312,4,187,0.35
197312,4,198,0.35
197312,7,32,0.35
197312,7,57,0.35
197312,7,69,0.23
197312,7,70,1.15
197312,7,122,1.15
197312,7,187,0.35
197312,7,198,0.35
197312,32,57,1.25
197312,32,70,0.35
197312,32,122,0.35
197312,32,198,0.383
197312,47,166,0.367
197312,57,70,0.35
197312,57,122,0.35
197312,57,198,0.383
197312,58,141,1.45
197312,64,64,0.85
197312,69,70,0.23
197312,69,102,0.367
197312,69,122,0.23
197312,69,127,0.575
197312,70,122,1.15
197312,70,141,1.2
197312,70,187,0.35
197312,70,198,0.35
197312,102,119,0.383
197312,122,187,0.35
197312,122,198,0.35
197312,127,166,0.23
197401,4,7,1.15
197401,4,32,0.35
197401,4,57,0.35
197401,4,69,0.23
197401,4,70,1.15
197401,4,122,1.15
197401,4,187,0.35
197401,4,198,0.35
197401,7,32,0.35
197401,7,57,0.35
197401,7,69,0.23
197401,7,70,1.15
197401,7,122,1.15
197401,7,187,0.35
197401,7,198,0.35
197401,32,57,1.25
197401,32,70,0.35
197401,32,122,0.35
197401,32,198,0.383
197401,47,166,0.367
197401,57,70,0.35
197401,57,122,0.35
197401,57,198,0.383
197401,69,70,0.23
197401,69,102,0.367
197401,69,122,0.23
197401,69,127,0.575
197401,70,122,1.15
197401,70,141,1.2
197401,70,187,0.35
197401,70,198,0.35
197401,102,119,0.383
197401,122,187,0.35
197401,122,198,0.35
197401,127,166,0.23
197402,4,7,1.15
197402,4,32,0.35
197402,4,57,0.35
197402,4,69,0.23
197402,4,70,1.15
197402,4,122,1.15
197402,4,187,0.35
197402,4,198,0.35
197402,7,32,0.35
197402,7,57,0.35
197402,7,69,0.23
197402,7,70,1.15
197402,7,122,1.15
197402,7,187,0.35
197402,7,198,0.35
197402,32,57,1.25
197402,32,70,0.35
197402,32,122,0.35
197402,32,198,0.383
197402,47,166,0.367
197402,57,70,0.35
197402,57,122,0.35
197402,57,198,0.383
197402,69,70,0.23
197402,69,102,0.367
197402,69,122,0.23
197402,69,127,0.575
197402,70,122,1.15
197402,70,141,1.2
197402,70,187,0.35
197402,70,198,0.35
197402,102,119,0.383
197402,122,187,0.35
197402,122,198,0.35
197402,127,166,0.23
197403,4,7,1.15
197403,4,32,0.35
197403,4,57,0.35
197403,4,69,0.23
197403,4,70,1.15
197403,4,122,1.15
197403,4,187,0.35
197403,4,198,0.35
197403,7,32,0.35
197403,7,57,0.35
197403,7,69,0.23
197403,7,70,1.15
197403,7,122,1.15
197403,7,187,0.35
197403,7,198,0.35
197403,32,57,1.25
